15, 425, 2393
15, 430, 1070
15, 435, 1108
15, 440, 1152
15, 425, 32602
15, 430, 30906
15, 435, 31965
15, 440, 32093
15, 380, 29952
15, 385, 28094
15, 390, 28686
15, 395, 29161
15, 400, 30593
15, 405, 31535
15, 410, 32612
15, 415, 33418
15, 420, 33851
15, 425, 34041
15, 430, 34555
15, 435, 34943
15, 440, 35454
15, 445, 35900
15, 450, 36497
15, 455, 36846
15, 460, 37246
15, 465, 37527
15, 470, 37922
15, 475, 38445
15, 480, 38854
15, 485, 39262
15, 490, 39832
15, 495, 40310
15, 500, 38761
15, 505, 38357
15, 510, 40710
15, 515, 41630
15, 520, 40370
15, 525, 39643
15, 530, 40314
15, 535, 39795
15, 540, 39992
15, 545, 40159
15, 550, 40512
15, 555, 40868
15, 530, 40837
15, 535, 39470
15, 540, 39999
15, 545, 40104
15, 550, 41467
15, 555, 41594
